Date;identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Disposez-vous d'une RQTH (Reconnaissance de la qualité de Travailleur Handicapé)?;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
08/02/2019 13:53;1767362704614120;Homme;2017;Initiale;GBA;Recherche;;;;;;;;;;;;;;;;;;;;;;
26/02/2019 15:15;1889049454965750;Femme;2017;Initiale;STE;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;3;Non;CNIM;250 à  4 999 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur process;Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...);;NON;NON;NON;OUI;4;4;4;5;5
08/02/2019 13:54;1793838194320470;Femme;2016;Initiale;GBA;Activite;Privé;CDI;En France;Grand Est;;22;Non;Alsace Lait;De 50 à 249 salarié(e)s ;Production - Exploitation ;Ordonnanceur / planificateur;Industrie agroalimentaire ;35000;NON;NON;NON;OUI;4;5;4;5;4
08/02/2019 16:04;1806734045417840;Homme;2017;Initiale;STE;Activite;Privé;CDI;En France;Occitanie;;7;Non;Eten-Environement ;De 10 à 19 salarié(e)s ;Production - Exploitation ;Chargé de mission hydraulique ;Autres activités spécialisées, scientifiques et techniques;19000;NON;NON;NON;OUI;4;5;3;4;4
10/04/2019 14:15;1782338010029830;Femme;2016;Initiale;STE;Activite;Privé;CDI;En France;Île-de-France;;24;Non;SEPIA Conseils;De 20 à 49 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieure d'études;Sociétés de conseil, bureaux d'études;28800;NON;OUI;NON;OUI;1;4;1;2;1
11/02/2019 15:45;1789420285265510;Femme;2018;Initiale;GBA;Activite;Privé;CDI;En France;Île-de-France;;5;Non;FOODMEAT;De 10 à 19 salarié(e)s ;Qualité, sécurité, sûreté de fonctionnement ;Responsable qualité;Industrie agroalimentaire ;31200;;OUI;NON;NON;4;4;3;5;3
08/02/2019 14:12;1782332412252700;Homme;2018;Initiale;MAT;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;5;Non;Sogeti High Tech;250 à  4 999 salarié(e)s ;Production - Exploitation ;Concepteur de pieces pour le nucleaire;Sociétés de conseil, bureaux d'études;32500;NON;NON;NON;NON;3;4;2;4;4
08/02/2019 14:14;1788636477108340;Homme;2018;Initiale;MEA;Activite;Privé;CDI;En France;Occitanie;;6;Non;Hardtech;De 50 à 249 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur R&D;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;30000;NON;NON;NON;NON;5;5;4;5;3
08/02/2019 14:14;1768183682286130;Homme;2018;Initiale;MEA;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;11;Non;Viveris Technologies;250 à  4 999 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur systèmes embarqués;Sociétés de conseil, bureaux d'études;31500;NON;OUI;NON;NON;4;5;3;5;4
08/02/2019 14:15;1788742361243300;Homme;2018;Apprentissage;SE;Activite;Privé;CDD;En France;Occitanie;;4;Non;MWSC;De 10 à 19 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur en systèmes embarqués;Recherche-développement scientifique;29000;NON;NON;NON;OUI;5;5;4;4;5
08/02/2019 14:15;1783165082353270;Homme;2017;Initiale;MEA;Activite;Privé;CDI;En France;Île-de-France;;;Non;Nokia;5 000 salarié(e)s ou plus;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur FPGA;Télécommunications;;;;;;5;;;;
08/02/2019 17:55;1889049477373780;Femme;2017;Initiale;STE;Activite;Privé;CTT;En France;Auvergne-Rhône-Alpes;;14;Non;EDF Centre d'Ingénierie Hydraulique;250 à  4 999 salarié(e)s ;Environnement & Société;Ingénieure Environnement;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);;NON;NON;NON;OUI;5;5;5;4;5
08/02/2019 14:20;1789312715006830;Homme;2018;Initiale;IG;Activite;Privé;CDI;A l'étranger;;Royaume-Uni;5;Non;BigSofa Tech;De 20 à 49 salarié(e)s ;Informatique industrielle et technique ;Front-End developer;Autres activités spécialisées, scientifiques et techniques;45712;NON;NON;NON;NON;4;4;4;4;5
25/02/2019 23:52;1782592482723010;Femme;2016;Initiale;STE;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;30;Non;SAFEGE;250 à  4 999 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur de projet en hydraulique urbaine;Autres activités spécialisées, scientifiques et techniques;32000;NON;OUI;NON;OUI;4;5;3;4;5
08/02/2019 14:20;1794681019749420;Homme;2017;Apprentissage;SE;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 14:21;1794775599416140;Homme;2018;Apprentissage;MSI;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;4;Non;SPIE Industrie et Tertiaire;5 000 salarié(e)s ou plus;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Chargé d'affaires;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;39000;OUI;OUI;OUI;OUI;4;5;4;4;4
08/02/2019 14:22;1768555977764870;Homme;2018;Initiale;MAT;Activite;Privé;CDI;En France;Nouvelle-Aquitaine;;6;Non;ENGIE AXIMA;5 000 salarié(e)s ou plus;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur Bureau d'etude;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);36000;OUI;OUI;OUI;OUI;4;5;4;5;5
08/02/2019 14:23;1789196580224290;Homme;2018;Initiale;MEA;Activite;Privé;CDI;En France;Centre-Val de Loire;;1;Non;Ardatem;250 à  4 999 salarié(e)s ;Informatique industrielle et technique ;Ingénieur en automatismes;Industrie automobile, aéronautique, navale, ferroviaire;28800;NON;NON;NON;NON;5;5;3;4;3
18/03/2019 12:32;1793786662512000;Homme;2017;Apprentissage;MSI;Activite;Privé;CDI;En France;Occitanie;;5;Non;ORYS Groupe ORTEC;De 50 à 249 salarié(e)s ;Production - Exploitation ;Ingénieur Soudeur IWE;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);40000;OUI;OUI;OUI;OUI;4;5;3;3;4
14/04/2019 12:04;1767473227322890;Homme;2018;Initiale;STE;Recherche;;;;;;;;;;;;;;;;;;;;;;
25/02/2019 13:34;1989049466189050;Femme;2016;Initiale;MI;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;31;Non;Capgemini (nouveau nom de Sogeti Hight Tech);5 000 salarié(e)s ou plus;Etudes - Conseil et expertise (autre qu'informatique);Concepteur;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);31500;OUI;NON;OUI;NON;4;3;3;3;5
08/02/2019 14:29;1893841532571100;Homme;2016;Initiale;MEA;Recherche;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 14:31;1867772706661410;Homme;2017;Initiale;MEA;Activite;Privé;CDI;En France;Île-de-France;;15;Non;Apside Technologies;250 à  4 999 salarié(e)s ;Informatique industrielle et technique ;Ingénieur FPGA;Industrie automobile, aéronautique, navale, ferroviaire;;NON;NON;NON;NON;4;5;3;4;3
08/02/2019 14:32;1788516703736650;Femme;2016;Initiale;IG;Activite;Privé;CDI;En France;Île-de-France;;4;Non;Air Frace;5 000 salarié(e)s ou plus;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Dimensionneur effectifs PNC;Industrie automobile, aéronautique, navale, ferroviaire;38000;NON;NON;NON;NON;5;5;3;3;3
08/02/2019 14:33;1802846091119630;Femme;2016;Initiale;GBA;Activite;Privé;CDI;En France;Pays de la Loire;;24;Non;Capgemini;5 000 salarié(e)s ou plus;Etudes et développement en systèmes d'information ;Consultant décisionnel;Activités informatiques et services d'information (TIC services);36500;NON;NON;NON;OUI;4;5;3;4;5
08/02/2019 17:08;1783045884698430;Femme;2018;Initiale;GBA;Etudes;;;;;;;;;;;;;;;;;;;;;;
05/03/2019 00:06;1783429203462650;Homme;2018;Initiale;STE;Activite;Privé;CDI;En France;Occitanie;;3;Non;Saur;5 000 salarié(e)s ou plus;Production - Exploitation ;Technicien exploitation Chargé des réseaux;Production et distribution d'eau assainissement, gestion des déchets et dépollution;28000;NON;NON;NON;NON;4;4;3;5;4
08/02/2019 14:40;1982920793866040;Homme;2017;Apprentissage;EGC;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;18;Non;EIFFAGE Génie Civil;De 50 à 249 salarié(e)s ;Production - Exploitation ;Ingénieur travaux;Construction, BTP;34500;OUI;OUI;OUI;OUI;3;4;3;4;4
25/02/2019 19:53;1783164883455430;Femme;2018;Initiale;GBA;Activite;Privé;CDD;En France;Nouvelle-Aquitaine;;3;Non;KIMARMOR;250 à  4 999 salarié(e)s ;Qualité, sécurité, sûreté de fonctionnement ;'Technicienne QSE' (Responsable QSE);Industrie agroalimentaire ;26496;OUI;NON;NON;OUI;5;4;4;5;5
24/03/2019 20:55;1798891493089950;Homme;2018;Initiale;STE;Activite;Privé;CDD;En France;Occitanie;;7;Non;Egis eau ;5 000 salarié(e)s ou plus;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur chargé d'études ;Autres activités spécialisées, scientifiques et techniques;31000;NON;NON;NON;OUI;5;5;5;5;5
08/02/2019 14:45;1876502131424770;Homme;2017;Initiale;MEA;Sans activité volontairement;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 14:46;1894385598123380;Homme;2016;Apprentissage;MSI;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;17;Non;Boccard ;250 à  4 999 salarié(e)s ;Qualité, sécurité, sûreté de fonctionnement ;Mandaté qualité ;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;40000;OUI;NON;OUI;NON;4;4;3;5;5
21/02/2019 19:56;1789743885640150;Homme;2017;Initiale;MI;Activite;Privé;CDI;En France;Île-de-France;;2;Non;devoteam management consulting;250 à  4 999 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Consultant Data et IA;Sociétés de conseil, bureaux d'études;41000;NON;OUI;NON;OUI;4;5;5;5;3
08/02/2019 14:53;1794043016942650;Homme;2016;Initiale;MEA;Activite;Privé;CDI;En France;Île-de-France;;29;Non;Navya;250 à  4 999 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Chef de projet;Activités informatiques et services d'information (TIC services);45000;NON;OUI;NON;OUI;5;5;2;5;4
25/02/2019 12:55;1782652421175370;Femme;2016;Initiale;STE;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 14:54;1906657240786900;Homme;2018;Apprentissage;EGC;Volontariat;;;;;;;;;;;;;;;;;;;;;;
18/03/2019 14:50;1783483868926050;Femme;2018;Professionalisation;GBA;Etudes;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 14:56;1782327058247290;Homme;2016;Apprentissage;EGC;Activite;Privé;CDI;En France;Occitanie;;12;Non;GAXIEU Ingénierie;De 50 à 249 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur d'affaires;Sociétés de conseil, bureaux d'études;31200;OUI;OUI;NON;OUI;4;5;4;5;4
08/02/2019 14:59;1777059846996580;Homme;2017;Initiale;MAT;Activite;Privé;CDI;En France;Occitanie;;13;Non;Alten;5 000 salarié(e)s ou plus;Qualité, sécurité, sûreté de fonctionnement ;Ingénieur qualité chez Airbus;Sociétés de conseil, bureaux d'études;30000;NON;NON;NON;OUI;3;4;2;5;5
08/02/2019 14:59;1789086663032420;Homme;2018;Initiale;MAT;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;5;Non;Elex;250 à  4 999 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Expert bâtiment ;Activités financières et d'assurance;37000;NON;NON;NON;OUI;4;4;5;5;3
08/02/2019 15:01;1788520719234030;Homme;2018;Initiale;IG;Volontariat;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 15:05;1775485178515470;Homme;2018;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;5;Non;ToHero;De 10 à 19 salarié(e)s ;Etudes et développement en systèmes d'information ;Ingenieur Etudes et developpement;Autres activités spécialisées, scientifiques et techniques;31000;NON;NON;NON;OUI;4;5;2;3;3
08/02/2019 15:05;1789583114713810;Homme;2017;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:46;1783110007604560;Homme;2018;Initiale;STE;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;1;Non;Safege (ou Suez consulting) Clermont ferrand;5 000 salarié(e)s ou plus;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur de projet;Autres secteurs ;30500;NON;NON;NON;OUI;5;4;5;5;3
08/02/2019 15:28;1788577873211720;Homme;2018;Initiale;STE;Activite;Privé;CDI;En France;Occitanie;;5;Non;CITEO; Moins de 10 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);;Sociétés de conseil, bureaux d'études;25200;NON;NON;NON;OUI;3;3;1;3;5
08/02/2019 15:12;1775951502045290;Homme;2018;Initiale;MEA;Activite;Privé;CDI;En France;Occitanie;;4;Non;SERMA INGENIERIE ;250 à  4 999 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur Electronique ;Industrie automobile, aéronautique, navale, ferroviaire;31008;NON;NON;NON;NON;4;4;3;4;5
08/02/2019 15:12;1789582942003070;Homme;2018;Initiale;IG;Activite;Privé;CDI;En France;Île-de-France;;8;;Solvay Energy Services;5 000 salarié(e)s ou plus;;;Énergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);42000;NON;NON;NON;OUI;4;5;3;5;4
11/03/2019 16:49;1789312826028090;Homme;2018;Initiale;GBA;Activite;Privé;CDI;En France;Martinique;;1;Non;Agro Keys; Moins de 10 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Consultant Industries des Vins et Spiritueux;Sociétés de conseil, bureaux d'études;35000;NON;OUI;NON;OUI;4;4;4;5;4
08/02/2019 15:14;1767833231964470;Homme;2017;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;24;Non;Rakuten Aquafadas;De 20 à 49 salarié(e)s ;Innovation, Propriété industrielle, brevets, transfert de technologie;Développeur Android;Autres activités spécialisées, scientifiques et techniques;31000;NON;NON;NON;NON;3;4;3;5;5
08/02/2019 15:14;1789139187302660;Homme;2018;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;6;Non;Yooz;De 50 à 249 salarié(e)s ;Informatique industrielle et technique ;Développeur full stack;Commerce;35500;NON;NON;NON;NON;5;5;4;4;2
08/02/2019 15:17;1882454961231850;Homme;2018;Initiale;MEA;Activite;Privé;CDI;A l'étranger;;Brésil;1;Non;ACTIA DO BRASIL;250 à  4 999 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);APPLICATION ENGINEER;Industrie automobile, aéronautique, navale, ferroviaire;20000;NON;OUI;OUI;OUI;5;4;4;5;5
08/02/2019 15:42;1882327051767680;Homme;2018;Initiale;STE;Activite;Privé;CDI;En France;Occitanie;;4;Non;INFRAMED INGENIEURS CONSEILS; Moins de 10 salarié(e)s ;Maîtrise d'&oelig,uvre;Ingénieur d'Etudes;Construction, BTP;26400;NON;NON;NON;OUI;5;5;3;4;5
08/02/2019 15:17;1798760272356460;Homme;2016;Apprentissage;SE;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;18;Non;PRIXTEL;De 20 à 49 salarié(e)s ;Informatique industrielle et technique ;Ingénieur IT;Télécommunications;43400;NON;NON;OUI;OUI;4;4;5;4;5
21/02/2019 19:19;1782921154332610;Homme;2017;Initiale;MI;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 15:19;1776615758564050;Femme;2016;Professionalisation;GBA;Recherche;;;;;;;;;;;;;;;;;;;;;;
