Date;identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Disposez-vous d'une RQTH (Reconnaissance de la qualite de Travailleur Handicape)?;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
05/03/2019 00:06;1783429203462650    ;Homme;2018;Initiale;STE;Activite;Prive;CDI;France;Occitanie;;3;Non;Saur;5000_;Production - Exploitation ;Technicien exploitation Charge des reseaux;Production et distribution d'eau assainissement, gestion des dechets et depollution;28000;NON;NON;NON;NON;4;4;3;5;4
08/02/2019 14:40;1982920793866040    ;Homme;2017;Apprentissage;EGC;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;18;Non;EIFFAGE Genie Civil;50_249;Production - Exploitation ;Ingenieur travaux;Construction, BTP;34500;OUI;OUI;OUI;OUI;3;4;3;4;4
25/02/2019 19:53;1783164883455430    ;Femme;2018;Initiale;GBA;Activite;Prive;CDD;France;Nouvelle-Aquitaine;;3;Non;KIMARMOR;250_4999;Qualite, securite, s?rete de fonctionnement ;'Technicienne QSE' (Responsable QSE);Industrie agroalimentaire ;26496;OUI;NON;NON;OUI;5;4;4;5;5
24/03/2019 20:55;1798891493089950    ;Homme;2018;Initiale;STE;Activite;Prive;CDD;France;Occitanie;;7;Non;Egis eau ;5000_;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur charge d'etudes ;Autres activites specialisees, scientifiques et techniques;31000;NON;NON;NON;OUI;5;5;5;5;5
08/02/2019 14:45;1876502131424770    ;Homme;2017;Initiale;MEA;Sans activite volontairement;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 14:46;1894385598123380    ;Homme;2016;Apprentissage;MSI;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;17;Non;Boccard ;250_4999;Qualite, securite, s?rete de fonctionnement ;Mandate qualite ;Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;40000;OUI;NON;OUI;NON;4;4;3;5;5
21/02/2019 19:56;1789743885640150    ;Homme;2017;Initiale;MI;Activite;Prive;CDI;France;ile-de-France;;2;Non;devoteam management consulting;250_4999;Etudes - Conseil et expertise (autre qu'informatique);Consultant Data et IA;Societes de conseil, bureaux d'etudes;41000;NON;OUI;NON;OUI;4;5;5;5;3
08/02/2019 14:53;1794043016942650    ;Homme;2016;Initiale;MEA;Activite;Prive;CDI;France;ile-de-France;;29;Non;Navya;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Chef de projet;Activites informatiques et services d'information (TIC services);45000;NON;OUI;NON;OUI;5;5;2;5;4
25/02/2019 12:55;1782652421175370    ;Femme;2016;Initiale;STE;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 14:54;1906657240786900    ;Homme;2018;Apprentissage;EGC;Volontariat;;;;;;;;;;;;;;;;;;;;;;
18/03/2019 14:50;1783483868926050    ;Femme;2018;Professionalisation;GBA;Etudes;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 14:56;1782327058247290    ;Homme;2016;Apprentissage;EGC;Activite;Prive;CDI;France;Occitanie;;12;Non;GAXIEU Ingenierie;50_249;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur d'affaires;Societes de conseil, bureaux d'etudes;31200;OUI;OUI;NON;OUI;4;5;4;5;4
08/02/2019 14:59;1777059846996580    ;Homme;2017;Initiale;MAT;Activite;Prive;CDI;France;Occitanie;;13;Non;Alten;5000_;Qualite, securite, s?rete de fonctionnement ;Ingenieur qualite chez Airbus;Societes de conseil, bureaux d'etudes;30000;NON;NON;NON;OUI;3;4;2;5;5
08/02/2019 14:59;1789086663032420    ;Homme;2018;Initiale;MAT;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;5;Non;Elex;250_4999;Etudes - Conseil et expertise (autre qu'informatique);Expert batiment ;Activites financieres et d'assurance;37000;NON;NON;NON;OUI;4;4;5;5;3
08/02/2019 15:01;1788520719234030    ;Homme;2018;Initiale;IG;Volontariat;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 15:05;1775485178515470    ;Homme;2018;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;5;Non;ToHero;10_19;Etudes et developpement en systemes d'information ;Ingenieur Etudes et developpement;Autres activites specialisees, scientifiques et techniques;31000;NON;NON;NON;OUI;4;5;2;3;3
08/02/2019 15:05;1789583114713810    ;Homme;2017;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 13:46;1783110007604560    ;Homme;2018;Initiale;STE;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;1;Non;Safege (ou Suez consulting) Clermont ferrand;5000_;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur de projet;Autres secteurs ;30500;NON;NON;NON;OUI;5;4;5;5;3
08/02/2019 15:28;1788577873211720    ;Homme;2018;Initiale;STE;Activite;Prive;CDI;France;Occitanie;;5;Non;CITEO;_10;Etudes - Conseil et expertise (autre qu'informatique);;Societes de conseil, bureaux d'etudes;25200;NON;NON;NON;OUI;3;3;1;3;5
08/02/2019 15:12;1775951502045290    ;Homme;2018;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;4;Non;SERMA INGENIERIE ;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur Electronique ;Industrie automobile, aeronautique, navale, ferroviaire;31008;NON;NON;NON;NON;4;4;3;4;5
08/02/2019 15:12;1789582942003070    ;Homme;2018;Initiale;IG;Activite;Prive;CDI;France;ile-de-France;;8;;Solvay Energy Services;5000_;;;energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne);42000;NON;NON;NON;OUI;4;5;3;5;4
11/03/2019 16:49;1789312826028090    ;Homme;2018;Initiale;GBA;Activite;Prive;CDI;France;Martinique;;1;Non;Agro Keys;_10;Etudes - Conseil et expertise (autre qu'informatique);Consultant Industries des Vins et Spiritueux;Societes de conseil, bureaux d'etudes;35000;NON;OUI;NON;OUI;4;4;4;5;4
08/02/2019 15:14;1767833231964470    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;24;Non;Rakuten Aquafadas;20_49;Innovation, Propriete industrielle, brevets, transfert de technologie;Developpeur Android;Autres activites specialisees, scientifiques et techniques;31000;NON;NON;NON;NON;3;4;3;5;5
08/02/2019 15:14;1789139187302660    ;Homme;2018;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;6;Non;Yooz;50_249;Informatique industrielle et technique ;Developpeur full stack;Commerce;35500;NON;NON;NON;NON;5;5;4;4;2
08/02/2019 15:17;1882454961231850    ;Homme;2018;Initiale;MEA;Activite;Prive;CDI;Etranger;;Bresil;1;Non;ACTIA DO BRASIL;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);APPLICATION ENGINEER;Industrie automobile, aeronautique, navale, ferroviaire;20000;NON;OUI;OUI;OUI;5;4;4;5;5
08/02/2019 15:42;1882327051767680    ;Homme;2018;Initiale;STE;Activite;Prive;CDI;France;Occitanie;;4;Non;INFRAMED INGENIEURS CONSEILS;_10;Maitrise d'&oelig,uvre;Ingenieur d'Etudes;Construction, BTP;26400;NON;NON;NON;OUI;5;5;3;4;5
08/02/2019 15:17;1798760272356460    ;Homme;2016;Apprentissage;SE;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;18;Non;PRIXTEL;20_49;Informatique industrielle et technique ;Ingenieur IT;Telecommunications;43400;NON;NON;OUI;OUI;4;4;5;4;5
21/02/2019 19:19;1782921154332610    ;Homme;2017;Initiale;MI;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 15:19;1776615758564050    ;Femme;2016;Professionalisation;GBA;Recherche;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 15:20;1783101043342780    ;Homme;2016;Initiale;MAT;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;30;Non;Becton Dickinson;5000_;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);R&D Engineer;Industrie pharmaceutique;40000;NON;OUI;OUI;OUI;5;5;5;5;4
08/02/2019 14:01;1793840346943360    ;Homme;2018;Initiale;STE;Activite;Prive;CDD;France;Occitanie;;6;Non;Egis;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur charge d'etudes ;Construction, BTP;32000;OUI;OUI;NON;OUI;5;5;5;5;5
08/02/2019 15:29;1788516703227880    ;Femme;2017;Professionalisation;GBA;Activite;Prive;CDI;France;Occitanie;;4;Non;Altran Consulting;5000_;Departement Systeme de management des entreprise;Consultant Junior ;Autres activites specialisees, scientifiques et techniques;33000;NON;NON;NON;OUI;3;4;2;4;4
08/02/2019 15:31;1776102214054560    ;Homme;2017;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;18;Non;BIT Group France;20_49;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur Electronique et numerique;Autres secteurs ;34000;NON;NON;NON;NON;4;3;3;3;4
08/02/2019 15:33;1782336188924400    ;Homme;2016;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;30;Non;Next Decision;50_249;Etudes et developpement en systemes d'information ;Consultant Decisionnel;Activites informatiques et services d'information (TIC services);34700;NON;NON;OUI;OUI;4;5;3;4;5
08/02/2019 15:37;1822549917121160    ;Homme;2017;Initiale;MAT;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;17;Non;ASTRA PLASTIQUE ;5000_;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Chef de projet R&D;Fabrication de produits en caoutchouc et en plastique ainsi que d'autres produits mineraux non metalliques;36000;NON;OUI;NON;OUI;4;5;4;5;4
08/02/2019 15:39;1983105752526800    ;Homme;2016;Apprentissage;SE;Activite;Prive;CDI;France;ile-de-France;;14;Non;Accenture;5000_;Etudes et developpement en systemes d'information ;;Autres secteurs ;55000;NON;NON;NON;NON;5;5;5;4;5
08/02/2019 15:39;1783297915005930    ;Homme;2017;Initiale;IG;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 15:39;1889078500658790    ;Homme;2018;Initiale;MAT;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 23:54;1888410462519720    ;Homme;2018;Initiale;STE;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 16:37;1798760177186810    ;Homme;2018;Initiale;MI;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 14:54;1798575226519670    ;Femme;2016;Initiale;STE;Activite;Prive;CDI;France;Normandie;;30;Non;IRH Antea Groupe;250_4999;Etudes - Conseil et expertise (autre qu'informatique);Chargee d'etudes Maitrise d'Oeuvre;Societes de conseil, bureaux d'etudes;32400;NON;NON;NON;OUI;4;5;3;4;4
08/02/2019 15:47;1776106869282940    ;Homme;2016;Initiale;IG;Activite;Prive;CDI;France;ile-de-France;;30;Non;Neurones IT;5000_;Assistance technique;Directeur de practice;Industrie des technologies de l'Information et de la Communication (TIC);65000;OUI;OUI;OUI;OUI;4;4;5;5;2
01/04/2019 14:14;1782462539988080    ;Femme;2016;Initiale;STE;These;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 15:59;1782336256786320    ;Homme;2016;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;26;Non;Solem;50_249;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Expert Projet;Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;38500;NON;NON;NON;OUI;4;5;4;5;5
13/02/2019 09:42;1789139007748540    ;Homme;2018;Professionalisation;STE;Recherche;;;;;;;;;;;;;;;;;;;;;;
27/02/2019 13:34;1882337710112910    ;Femme;2016;Apprentissage;STE;Activite;Prive;CDI;Etranger;;Royaume-Uni;2;Non;Mott MacDonald;5000_;Etudes - Conseil et expertise (autre qu'informatique);Hydrologist/Hydraulic Modeller;Societes de conseil, bureaux d'etudes;35000;NON;NON;NON;OUI;5;4;5;4;4
08/02/2019 16:10;1788460154528450    ;Femme;2016;Professionalisation;GBA;Activite;Prive;CDI;France;Hauts-de-France;;1;Non;Nestle;5000_;Production - Exploitation ;Adjointe de production;Industrie agroalimentaire ;53550;NON;NON;OUI;OUI;5;4;5;5;2
08/02/2019 16:12;1893834511002870    ;Femme;2016;Initiale;GBA;Activite;Prive;CDI;France;Hauts-de-France;;20;Non;Chateau blanc ;5000_;Production - Exploitation ;Chef d'equipe de production ;Industrie agroalimentaire ;25920;OUI;NON;OUI;OUI;4;4;3;3;1
21/02/2019 20:39;1788522925362020    ;Homme;2018;Professionalisation;MI;Activite;Prive;CDD;France;Occitanie;;6;Non;Orano TN;5000_;Ingenierie;Ingenieur etudes;Transports (Services);39500;NON;NON;NON;OUI;5;5;4;4;5
08/02/2019 16:15;1788640430211650    ;Homme;2018;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;5;Non;FOCUSSIA;_10;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur developpement ;Autres industries (bois, imprimerie, fabrication, reparation et installation de machines et d'equipements, ...);28000;NON;NON;NON;OUI;4;5;4;5;5
11/03/2019 14:57;1788581262220530    ;Homme;2018;Initiale;MI;Activite;Prive;CDI;France;Occitanie;;4;Non;Cimpa;250_4999;Etudes - Conseil et expertise (autre qu'informatique);Stress Engineer;Industrie automobile, aeronautique, navale, ferroviaire;33000;OUI;NON;OUI;OUI;4;5;3;5;4
08/02/2019 16:24;1789139006655910    ;Homme;2018;Initiale;IG;Activite;Prive;CDI;Etranger;;Royaume-Uni;12;Non;Riventa;10_19;Informatique;Ingenieur en informatique;Autres secteurs ;40000;NON;NON;NON;OUI;5;5;5;5;5
08/02/2019 16:31;1776615819557700    ;Femme;2018;Professionalisation;MAT;Activite;Prive;CDD;Etranger;;Espagne;6;Non;HP;5000_;Marketing;Competitive product manager;Activites informatiques et services d'information (TIC services);28000;NON;OUI;NON;OUI;4;3;4;4;5
03/04/2019 17:35;1767833412260590    ;Homme;2017;Initiale;MI;Activite;Prive;CDI;Etranger;;Suisse;24;Non;Patek Philippe SA La chaux de fonds ;20_49;Methodes, controle de production, maintenance;Ingenieur charge d'industrialisation ;Autres secteurs ;;NON;OUI;NON;OUI;4;4;5;5;5
08/02/2019 16:40;1794681459593540    ;Femme;2017;Initiale;GBA;Recherche;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 14:34;1788409532960260    ;Homme;2018;Professionalisation;GBA;Activite;Prive;CDI;France;Centre-Val de Loire;;4;Non;Brossard;5000_;Production - Exploitation ;Responsable de ligne;Industrie agroalimentaire ;30000;OUI;NON;OUI;NON;5;4;2;5;2
13/02/2019 22:26;1783101165055470    ;Femme;2018;Initiale;GBA;Activite;Prive;CDI;France;Nouvelle-Aquitaine;;4;Non;Conserves France;50_249;Qualite, securite, s?rete de fonctionnement ;Assistante QHSE;Industrie agroalimentaire ;25020;NON;NON;NON;NON;4;5;4;3;3
09/02/2019 14:28;1767911677127430    ;Homme;2017;Initiale;STE;Activite;Prive;CDI;Etranger;;Suisse;17;Non;SGI INGENIERIE SA;50_249;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur d'etudes en hydraulique urbaine;Societes de conseil, bureaux d'etudes;63000;OUI;NON;NON;NON;5;4;5;4;4
08/02/2019 16:53;1782455519326140    ;Femme;2017;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;18;Non;IOTEROP;_10;Informatique industrielle et technique ;Ingenieur Developpement;Telecommunications;29000;NON;NON;NON;OUI;5;4;3;5;5
08/02/2019 16:56;1767372926026850    ;Homme;2017;Initiale;MAT;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;13;Non;Asymptote project management ;50_249;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur gestion de projet;Activites juridiques, comptables, de gestion, d'architecture, d'ingenierie, de controle et d'analyses techniques;33000;NON;NON;NON;NON;4;5;4;5;5
26/02/2019 12:03;1794332466612310    ;Femme;2018;Initiale;GBA;Etudes;;;;;;;;;;;;;;;;;;;;;;
26/02/2019 11:25;1794332565579100    ;Femme;2018;Initiale;GBA;Activite;Prive;CDI;France;Occitanie;;8;Non;ADVINI;250_4999;Qualite, securite, s?rete de fonctionnement ;Chargee de qualite client;Industrie agroalimentaire ;29500;NON;NON;NON;NON;3;4;2;3;5
26/03/2019 22:38;1783116544067800    ;Femme;2018;Professionalisation;GBA;Activite;Prive;CDI;France;Pays de la Loire;;7;Non;Revillon Chocolatier;250_4999;Methodes, controle de production, maintenance;Responsable d'activite - atelier Moulage;Industrie agroalimentaire ;27600;OUI;OUI;OUI;OUI;5;4;4;5;3
11/03/2019 12:09;1794681451788990    ;Homme;2017;Initiale;MI;Sans activite volontairement;;;;;;;;;;;;;;;;;;;;;;
25/02/2019 14:20;1798487267097090    ;Homme;2017;Initiale;STE;Volontariat;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 17:20;1788692356771020    ;Homme;2016;Apprentissage;MSI;Activite;Prive;CDI;France;ile-de-France;;6;Non;serimax;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);ingenieur soudeur (IWE);Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;40000;NON;NON;NON;NON;4;5;3;3;2
08/02/2019 17:30;1782336322078230    ;Homme;2017;Initiale;MAT;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;18;Non;Soitec;250_4999;Production - Exploitation ;Ingenieur Process;Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;40000;OUI;NON;OUI;OUI;4;5;4;4;3
10/04/2019 14:57;1782529346473350    ;Homme;2017;Initiale;STE;Volontariat;;;;;;;;;;;;;;;;;;;;;;
09/02/2019 02:33;1794332564639310    ;Homme;2017;Professionalisation;MI;Etudes;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 17:33;1888636169617940    ;Homme;2017;Initiale;IG;Activite;Prive;CDI;France;Occitanie;;0;Non;Altran;5000_;;Junior consultant;Activites informatiques et services d'information (TIC services);32000;;;;;4;;;;
08/02/2019 17:36;1783036837136230    ;Femme;2016;Initiale;GBA;Activite;Prive;CDI;France;Occitanie;;7;Non;Arcadie Sud Ouest;250_4999;Qualite, securite, s?rete de fonctionnement ;Responsable QSE;Industrie agroalimentaire ;30550;OUI;NON;OUI;NON;4;4;4;5;5
08/02/2019 17:38;1875345038212540    ;Homme;2016;Apprentissage;EGC;Activite;Prive;CDI;France;ile-de-France;;11;Non;Alter Solutions;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur consultant en genie des procedes hydrauliques;Industrie pharmaceutique;40000;NON;NON;NON;NON;3;5;4;2;3
08/02/2019 16:40;1789198696637920    ;Femme;2018;Initiale;GBA;Etudes;;;;;;;;;;;;;;;;;;;;;;
01/04/2019 18:46;1776170138846650    ;Homme;2017;Initiale;STE;Activite;Prive;CDI;France;Occitanie;;18;Non;ETANDEX;250_4999;Commercial(e) (dont ingenieur(e) d'affaire) ;Ingenieur etudes et commercial;Construction, BTP;41895;NON;OUI;NON;OUI;5;5;5;5;5
08/02/2019 17:46;1783100972199480    ;Femme;2018;Initiale;MAT;Activite;Prive;CDI;France;Occitanie;;3;Non;Altran;5000_;Qualite, securite, s?rete de fonctionnement ;Responsable Qualite Fournisseurs Procedes Speciaux;Industrie automobile, aeronautique, navale, ferroviaire;31000;NON;NON;NON;OUI;5;5;3;4;5
11/02/2019 22:34;1775265273928660    ;Femme;2016;Initiale;STE;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;14;Non;EDF - Centre d'Ingenierie Hydraulique;5000_;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur d'etudes en hydraulique;energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne);35000;NON;OUI;NON;NON;5;5;5;4;5
13/03/2019 14:16;1789246176479960    ;Femme;2018;Initiale;GBA;Activite;Prive;CDD;France;Occitanie;;6;Non;BORDEAUX VINEAM;20_49;Qualite, securite, s?rete de fonctionnement ;Assistante HQSE;Agriculture, sylviculture et peche ;25100;OUI;NON;NON;OUI;4;4;3;5;3
28/02/2019 19:10;1788404486821090    ;Homme;2016;Initiale;STE;Activite;Prive;CDI;France;Pays de la Loire;;24;Non;SAMOA (Societe d'amenagement de la metropole ouest atlantique) ;20_49;Etudes - Conseil et expertise (autre qu'informatique);Charge de mission Halles 1&2;Construction, BTP;34500;NON;OUI;NON;OUI;3;5;4;3;5
08/02/2019 18:03;1982486171852200    ;Femme;2018;Initiale;MAT;Etudes;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 18:06;1798761120459530    ;Femme;2017;Initiale;GBA;Activite;Prive;CDD;Etranger;;Royaume-Uni;9;Non;MDS Ltd;_10;Varie;Management Trainee;Industrie agroalimentaire ;22852;OUI;NON;NON;OUI;3;4;2;3;2
08/02/2019 18:07;1783429148215880    ;Homme;2017;Apprentissage;EGC;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;10;Non;APTISKILLS;250_4999;INGENIEUR HYDRAULICIEN ET D'OPERATIONS;ingenieur hydraulicien et d'operations;Societes de conseil, bureaux d'etudes;33000;NON;OUI;OUI;OUI;4;4;3;4;4
03/03/2019 12:43;1768466560960410    ;Femme;2018;Initiale;GBA;Activite;Prive;CDI;Etranger;;Republique tcheque ;2;Non;La Lorraine, a.s.;250_4999;Qualite, securite, s?rete de fonctionnement ;Specialiste qualite;Industrie agroalimentaire ;14118;NON;NON;NON;OUI;4;5;3;5;4
08/02/2019 19:01;1783100970982130    ;Femme;2018;Apprentissage;MSI;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;3;Non;Bureau Veritas;5000_;Inspection, service nucleaire;Ingenieur specialiste- chargee d'affaires;energie (Production et distribution d'electricite, de gaz, de vapeur et d'air conditionne);35500;NON;OUI;NON;OUI;5;5;4;5;5
08/02/2019 19:25;1783165150826200    ;Homme;2016;Professionalisation;GBA;Activite;Prive;CDI;France;ile-de-France;;6;Non;;20_49;Maitrise d'ouvrage ;;Hebergement et restauration;;;;;;;;;;
08/02/2019 19:41;1788639858775910    ;Femme;2016;Apprentissage;SE;Activite;Prive;CDI;France;Occitanie;;24;Non;Alten;250_4999;Assistance technique;Consultant;Autres secteurs ;31000;NON;NON;NON;NON;2;3;0;4;2
08/02/2019 19:53;1802846092404660    ;Homme;2017;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;;
18/03/2019 22:41;1975368382430350    ;Femme;2018;Initiale;GBA;Activite;Prive;CDI;France;Nouvelle-Aquitaine;;6;Non;St Dalfour;50_249;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieir R&D et Qualite;Industrie agroalimentaire ;;OUI;NON;NON;OUI;4;5;4;5;3
22/02/2019 09:00;1867832847495650    ;Homme;2016;Initiale;MI;Activite;Prive;CDD;Etranger;;Kenya;0;Non;Transmara sugar company ltd;50_249;Production - Exploitation ;Factory mechanical engineer;Industrie agroalimentaire ;104000;OUI;OUI;OUI;OUI;3;4;5;4;2
08/02/2019 20:11;1783297988373250    ;Homme;2016;Initiale;MEA;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;13;Non;Eaton Cooper;5000_;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur R&D;Autres activites specialisees, scientifiques et techniques;42000;NON;NON;NON;OUI;4;4;4;4;4
08/02/2019 20:36;1767362705535280    ;Homme;2016;Initiale;MEA;Activite;Prive;CDI;France;Bourgogne-Franche-Comte;;36;Non;ACTEMIUM Mulhouse / EIE;5000_;Responsable projet industriel;Chef de projet robotique / Ingenieur roboticien;Industrie automobile, aeronautique, navale, ferroviaire;33500;OUI;OUI;OUI;OUI;1;5;3;5;0
08/02/2019 20:43;1794190762090330    ;Femme;2016;Professionalisation;GBA;Activite;Prive;CDI;France;Nouvelle-Aquitaine;;30;Non;Lindt & Sprungli ;250_4999;Production - Exploitation ;Chef d'equipe ;Industrie agroalimentaire ;;OUI;NON;OUI;OUI;4;4;5;4;3
08/02/2019 21:03;1788742468660480    ;Homme;2017;Initiale;MAT;Volontariat;;;;;;;;;;;;;;;;;;;;;;
08/02/2019 21:04;1882421149142780    ;Femme;2016;Apprentissage;EGC;Activite;Prive;CDI;France;ile-de-France;;13;Non;;250_4999;Production - Exploitation ;Ingenieur travaux;Construction, BTP;40000;OUI;OUI;OUI;OUI;4;3;3;4;4
04/03/2019 13:02;1782333055995110    ;Femme;2017;Initiale;STE;Activite;Prive;CDD;France;Occitanie;;1;Non;Cabiron traiteur;20_49;Achats, approvisionnements, logistique ;Responsable packaging / maitre d'hotel;Hebergement et restauration;;NON;OUI;OUI;OUI;4;5;3;5;5
08/02/2019 22:12;1782332213856140    ;Femme;2017;Professionalisation;GBA;Activite;Prive;CDD;France;Provence-Alpes-Cote d'Azur;;8;Non;Laboratoires M&L;250_4999;Qualite, securite, s?rete de fonctionnement ;Charge qualite;Industrie chimique;35000;NON;NON;NON;OUI;3;5;5;3;3
08/02/2019 22:21;1767833321202130    ;Homme;2018;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;5;Non;Diasys technologies;10_19;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur electronique et firmware;Recherche-developpement scientifique;30000;NON;NON;NON;NON;5;5;5;5;5
08/02/2019 22:37;1776242171172240    ;Homme;2018;Initiale;MEA;Activite;Public;CDI;France;ile-de-France;;6;Non;SNCF;5000_;Innovation, Propriete industrielle, brevets, transfert de technologie;Ingenieur Informatique;Industrie automobile, aeronautique, navale, ferroviaire;40000;NON;NON;NON;OUI;4;5;4;4;3
19/02/2019 10:12;1789033924803500    ;Femme;2018;Initiale;GBA;Activite;Public;CDD;France;Occitanie;;1;Non;INRA;5000_;Ingenieur d'Etude / Gestion de projet;Ingenieur d'etude;Agriculture, sylviculture et peche ;24228;OUI;NON;OUI;OUI;5;3;2;5;5
08/02/2019 22:58;1775345040538190    ;Homme;2016;Apprentissage;EGC;Activite;Prive;CDI;France;Occitanie;;10;Non;Aquadoc ;50_249;Commercial(e) (dont ingenieur(e) d'affaire) ;Charge d affaires ;Agriculture, sylviculture et peche ;45000;OUI;OUI;OUI;OUI;2;2;5;5;4
25/02/2019 14:58;1899261173133000    ;Homme;2018;Initiale;STE;Activite;Prive;CDD;France;Provence-Alpes-Cote d'Azur;;6;Non;CEREG INGENIERIE ALPES COTE D'AZUR;50_249;Etudes - Conseil et expertise (autre qu'informatique);T echnicien Mesures et Prelevements;Societes de conseil, bureaux d'etudes;25000;NON;NON;NON;OUI;4;5;2;5;5
04/03/2019 11:08;1798760313419580    ;Homme;2016;Initiale;STE;Activite;Prive;CDI;France;Occitanie;;10;Non;GREENFISH ;50_249;Etudes - Conseil et expertise (autre qu'informatique);CONSULTANT;Telecommunications;34000;OUI;NON;NON;OUI;4;4;5;5;4
08/02/2019 23:55;1776170139518960    ;Homme;2018;Initiale;IG;Recherche;;;;;;;;;;;;;;;;;;;;;;
09/02/2019 00:44;1789083376957100    ;Homme;2018;Initiale;MAT;Activite;Prive;CDD;France;Nouvelle-Aquitaine;;6;Non;ArianeGroup;5000_;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur materiaux et procedes;Industrie automobile, aeronautique, navale, ferroviaire;32000;NON;OUI;NON;OUI;4;5;3;4;5
09/02/2019 01:16;1776621858821210    ;Homme;2017;Initiale;IG;Etudes;;;;;;;;;;;;;;;;;;;;;;
