Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
22/01/2020 09:50;Homme;1783110007604560;2018;Initiale;STE;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;12;Suez Consulting;De 20 à 49 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur d'étude;Autres secteurs ;32000;NON;OUI;NON;OUI;4;4;4;4;3
10/01/2020 17:20;Homme;1768549960994340;2018;Apprentissage;EGC;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;15;Sade;5 000 salarié(e)s ou plus;Production - Exploitation ;Ingénieur Travaux;Construction, BTP;35775;OUI;OUI;OUI;OUI;4;5;2;3;4
10/01/2020 23:17;Homme;1793739986286080;2018;Professionalisation;GBA;Activite;Privé;CDI;En France;Pays de la Loire;;7;Crystal;De 50 à 249 salarié(e)s ;Production - Exploitation ;Chef d'équipe;Industrie agroalimentaire ;31500;OUI;NON;OUI;NON;5;4;3;5;2
10/01/2020 17:54;Homme;1788520832919500;2018;Apprentissage;MSI;Activite;Privé;CDI;En France;Nouvelle-Aquitaine;;15;PONTICELLI;250 à  4 999 salarié(e)s ;Commercial(e) (dont ingénieur(e) d'affaire) ;Ingénieur Travaux;Autres secteurs ;32000;OUI;OUI;OUI;OUI;4;5;4;4;5
10/01/2020 16:29;Homme;1888410462519720;2018;Initiale;STE;En recherche emploi;;;;;;;;;;;;;;;;;;;;;
10/01/2020 16:43;Homme;1789312715006830;2018;Initiale;IG;Activite;Privé;CDI;A l'étranger;;Royaume-Uni;17;Big Sofa;De 20 à 49 salarié(e)s ;Informatique industrielle et technique ;Front-End Developer;Autres activités spécialisées, scientifiques et techniques;57040;OUI;NON;NON;OUI;4;4;4;4;5
15/01/2020 20:02;Femme;1776167206024100;2018;Initiale;GBA;Activite;Privé;CDI;En France;Nouvelle-Aquitaine;;15;Conserves France;De 50 à 249 salarié(e)s ;Qualité, sécurité, sûreté de fonctionnement ;Assistante QHSE;Industrie agroalimentaire ;27600;NON;NON;NON;NON;2;5;3;3;3
10/01/2020 18:45;Homme;1893841522608530;2018;Initiale;MAT;Etudes;;;;;;;;;;;;;;;;;;;;;
13/01/2020 09:17;Femme;1794332565579100;2018;Initiale;GBA;Activite;Privé;CDI;En France;Occitanie;;19;MAISON JEANJEAN;250 à  4 999 salarié(e)s ;Qualité, sécurité, sûreté de fonctionnement ;Chargée de Qualité ;Industrie agroalimentaire ;30000;NON;NON;NON;OUI;4;4;3;4;5
10/01/2020 18:00;Femme;1893834515609910;2018;Initiale;MAT;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;16;Trempelec;De 50 à 249 salarié(e)s ;Méthodes, contrôle de production, maintenance;Ingénieur Méthodes Industrialisation;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;33800;NON;OUI;NON;OUI;5;4;4;5;5
13/01/2020 10:54;Homme;1767650860501100;2018;Initiale;MEA;Activite;Privé;CDI;En France;Occitanie;;15;SERMA Ingenierie;De 50 à 249 salarié(e)s ;Informatique industrielle et technique ;Ingénieur Electronique ;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;34500;NON;NON;NON;NON;4;4;3;4;5
12/01/2020 22:39;Homme;1776170139518960;2018;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;7;HR Team;De 50 à 249 salarié(e)s ;Etudes et développement en systèmes d'information ;Ingénieur études & développement;Activités informatiques et services d'information (TIC services);33000;NON;NON;NON;NON;3;5;3;4;5
11/01/2020 01:59;Homme;1782921221170640;2018;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;
12/01/2020 22:30;Homme;1789196580224290;2018;Initiale;MEA;Activite;Privé;CDI;En France;Centre-Val de Loire;;13;Ardatem Fondettes;250 à  4 999 salarié(e)s ;Informatique industrielle et technique ;Ingénieur en automatismes;…nergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);28800;NON;NON;NON;NON;5;5;3;4;2
10/01/2020 16:33;Femme;1775955960243890;2018;Initiale;IG;Activite;Privé;CDI;En France;Île-de-France;;16;Caliatys;De 10 à 19 salarié(e)s ;Etudes et développement en systèmes d'information ;Chef de projet;Activités informatiques et services d'information (TIC services);48000;OUI;OUI;OUI;OUI;1;4;5;5;3
11/01/2020 01:04;Femme;1994311501373330;2018;Initiale;MAT;Activite;Privé;CDI;En France;Hauts-de-France;;3;Vallourec Research Center France ;5 000 salarié(e)s ou plus;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur R&D;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;39000;NON;OUI;NON;OUI;5;5;5;5;4
23/01/2020 17:49;Homme;1782921156842660;2018;Initiale;MEA;Activite;Privé;CDI;En France;Occitanie;;7;Koovea ;De 10 à 19 salarié(e)s ;Informatique industrielle et technique ;Ingénieur logiciel embarqué ;Autres activités spécialisées, scientifiques et techniques;30000;NON;NON;NON;NON;5;5;3;4;5
12/01/2020 23:05;Femme;1789198696637920;2018;Initiale;GBA;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;2;DESCOURS SAS;De 10 à 19 salarié(e)s ;Qualité, sécurité, sûreté de fonctionnement ;Assistante Qualité;Industrie agroalimentaire ;30000;NON;OUI;NON;OUI;3;2;4;3;1
11/01/2020 16:21;Homme;1788636477108340;2018;Initiale;MEA;Activite;Privé;CDI;En France;Occitanie;;16;Hardtech;De 50 à 249 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur développement R&D;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;32000;NON;NON;NON;OUI;5;5;4;5;4
12/01/2020 16:12;Homme;1768183682286130;2018;Initiale;MEA;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;23;Viveris;250 à  4 999 salarié(e)s ;Informatique industrielle et technique ;Ingénieur développement en systèmes embarqués;Industrie des technologies de l'Information et de la Communication (TIC);31000;OUI;NON;NON;OUI;4;5;3;4;5
13/01/2020 11:54;Homme;1782327184883430;2018;Apprentissage;SE;Activite;Privé;CDI;En France;Occitanie;;2;AUSY;250 à  4 999 salarié(e)s ;Etudes et développement en systèmes d'information ;Développement, MCO et supports des outils pour Airbus EYY;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;32000;NON;NON;NON;OUI;4;4;3;4;3
10/01/2020 20:20;Homme;1903013444656080;2018;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;
10/01/2020 17:09;Homme;1882916932779660;2018;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;
10/01/2020 16:27;Femme;1794681503344440;2018;Initiale;GBA;Activite;Privé;CDI;En France;Bretagne;;12;Capinov;5 000 salarié(e)s ou plus;Evaluation sensorielle;Responsable Laboratoire - …valuation Sensorielle;Autres activités spécialisées, scientifiques et techniques;34220;OUI;OUI;OUI;OUI;5;5;3;5;2
