Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
02/03/2020 22:30;Femme;1898618547629560    ;2018;Initiale;GBA;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;14;Le comptoir de Mathilde;50_249;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Assistante R&d et qualite;Industrie agroalimentaire ;23400;NON;NON;NON;OUI;1;3;1;5;3
02/03/2020 22:49;Femme;1776091591635030    ;2017;Professionalisation;GBA;Activite;Prive;CDI;France;Nouvelle-Aquitaine;;16;Bledina;5000_;Qualite, securite, sûrete de fonctionnement ;Responsable qualite operationnelle Pots Compotes;Industrie agroalimentaire ;40000;OUI;OUI;OUI;OUI;4;4;4;5;3
02/03/2020 23:44;Homme;1789412422555800    ;2019;Initiale;IG;Activite;Prive;CDI;Etranger;;Danemark;3;Motorola Solutions;5000_;Informatique industrielle et technique ;Software engineer;Telecommunications;60696;NON;NON;NON;NON;4;4;4;4;4
03/03/2020 13:38;Homme;1775569932483610    ;2017;Initiale;GBA;Activite;Prive;CDD;Etranger;;Suisse;14;Nestle ;5000_;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Associate product specialist;Industrie agroalimentaire ;95000;NON;OUI;OUI;OUI;5;4;4;5;5
03/03/2020 15:03;Homme;1868325752705850    ;2017;Initiale;MAT;These;;;;;;;;;;;;;;;;;;;;;
03/03/2020 17:36;Femme;1789472288299210    ;2018;Professionalisation;GBA;En recherche emploi;;;;;;;;;;;;;;;;;;;;;
03/03/2020 17:58;Homme;1776242172673670    ;2019;Initiale;MAT;Activite;Prive;CDI;Etranger;;Suisse;7;Procadrans;50_249;Methodes, controle de production, maintenance;Technicien methodes;Autres activites specialisees, scientifiques et techniques;;NON;NON;NON;OUI;5;4;3;3;2
03/03/2020 22:22;Homme;1899265670234830    ;2019;Initiale;MAT;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;2;Sciences Computers Consultants;_10;Etudes - Conseil et expertise (autre qu'informatique);Ingenieur d'application des procedes d'extrusion ;Societes de conseil ou d'ingenieurie, bureaux d'etudes independants;31000;NON;NON;NON;OUI;2;4;4;2;2
04/03/2020 08:57;Femme;1775956046429000    ;2018;Professionalisation;GBA;Activite;Prive;CDD;France;Provence-Alpes-Cote d'Azur;;6;GROUOE L'OCCITANE;250_4999;Sous traitance;Charge de sous traitance;Autres secteurs ;36500;NON;NON;NON;OUI;5;5;5;5;1
04/03/2020 10:30;Femme;1782332086092190    ;2017;Initiale;GBA;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;32;;50_249;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur R&D;Industrie agroalimentaire ;;;;;;3;4;3;3;5
04/03/2020 12:47;Femme;1789365008353440    ;2019;Initiale;GBA;Activite;Prive;CDI;France;ile-de-France;;7;Bimbo QSR;50_249;Production - Exploitation ;Chef d'equipe ;Agriculture, sylviculture et pÍche ;37000;OUI;NON;OUI;NON;1;5;2;2;4
04/03/2020 13:08;Femme;1767189251505240    ;2018;Initiale;GBA;Activite;Prive;CDI;France;Pays de la Loire;;19;Lactalis;5000_;Production - Exploitation ;Responsable adjointe atelier fabrication ;Industrie agroalimentaire ;42000;OUI;NON;OUI;OUI;5;5;4;4;2
04/03/2020 19:49;Homme;1788742411254090    ;2018;Initiale;MAT;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;3;SOLUTEC;250_4999;Reseaux, intranet, internet, telecommunications ;Ingenieur Consultant en securite informatique;Activites informatiques et services d'information (TIC services);26000;NON;NON;NON;NON;2;4;2;3;4
05/03/2020 08:28;Homme;1782327051767720    ;2018;Initiale;STE;Activite;Public;CDI;France;Occitanie;;18;INFRAMED INGENIEURS CONSEILS;_10;Maitrise d'oeuvre;Ingenieur d'etudes;Construction, BTP;49000;OUI;NON;NON;OUI;1;5;3;4;5
05/03/2020 19:27;Homme;1782714871390490    ;2017;Professionalisation;IG;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;19;ANDRICE LYON;50_249;Commercial(e) (dont ingenieur(e) d'affaire) ;BUSINESS MANAGER;Societes de conseil ou d'ingenieurie, bureaux d'etudes independants;42000;OUI;OUI;OUI;OUI;;5;4;5;5
06/03/2020 15:59;Homme;1782921221813600    ;2018;Initiale;IG;Activite;Prive;CDI;France;Auvergne-Rhone-Alpes;;18;Next Decision;50_249;Exploitation / maintenance informatique ;Consultant Decisionnel;Telecommunications;34000;NON;NON;NON;OUI;4;4;2;4;4
06/03/2020 19:25;Femme;1788410893486840    ;2017;Initiale;GBA;Activite;Prive;CDI;France;Occitanie;;6;Erba Diagnostics France ;250_4999;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur d'etude DIV DM;Recherche-developpement scientifique;40000;OUI;NON;NON;OUI;4;4;3;2;5
