Date;Genre;identifiant;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
10/01/2020 16:33;Homme;1,78875E+15;2019;Initiale;STE;En recherche emploi;;;;;;;;;;;;;;;;;;;;;
10/01/2020 17:55;Femme;1,78891E+15;2019;Initiale;GBA;Activite;Privé;CDD;En France;Normandie;;2;Lactalis;5 000 salarié(e)s ou plus;Qualité, sécurité, sûreté de fonctionnement ;Coordinatrice Qualité ;Industrie agroalimentaire ;24000;OUI;NON;OUI;OUI;4;5;3;5;2
10/01/2020 17:44;Femme;1,78343E+15;2019;Initiale;MI;Activite;Privé;CDI;En France;Occitanie;;4;Scalian;250 à  4 999 salarié(e)s ;Commercial(e) (dont ingénieur(e) d'affaire) ;Ingénieur d'affaires;Industrie automobile, aéronautique, navale, ferroviaire;40000;OUI;OUI;OUI;NON;4;3;4;4;4
23/01/2020 15:27;Homme;1,78914E+15;2019;Professionalisation;STE;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;4;Elmatec;De 10 à 19 salarié(e)s ;Conception et installation de filières de traitement d'eau (effluents industriels principalement);Ingénieur projet;Métallurgie et fabrication de produits métalliques à l'exception des machines et des équipements;32400;NON;OUI;NON;OUI;4;5;3;4;4
11/01/2020 16:55;Homme;1,76682E+15;2019;Initiale;MEA;Activite;Privé;CDI;En France;Île-de-France;;5;LGM Ingénierie;250 à  4 999 salarié(e)s ;Informatique industrielle et technique ;Ingénieur banc de test;Industrie automobile, aéronautique, navale, ferroviaire;35000;NON;NON;NON;OUI;5;5;4;4;5
10/01/2020 16:21;Homme;1,76855E+15;2019;Initiale;MI;These;;;;;;;;;;;;;;;;;;;;;
10/01/2020 18:42;Homme;1,75771E+15;2019;Initiale;MI;En recherche emploi;;;;;;;;;;;;;;;;;;;;;
10/01/2020 20:10;Homme;1,7831E+15;2019;Initiale;IG;Activite;Public;CDI;A l'étranger;;Thailande;3;Sukhanaree school ;250 à  4 999 salarié(e)s ;Enseignement - Formation ;Professeur d'anglais;Enseignement, recherche;11426;NON;NON;NON;NON;4;3;5;5;5
10/01/2020 16:21;Femme;1,86791E+15;2019;Initiale;IG;Activite;Privé;CDI;En France;Occitanie;;3;Conserto;250 à  4 999 salarié(e)s ;Etudes et développement en systèmes d'information ;Ingénieur Etude et Développement;Activités informatiques et services d'information (TIC services);33000;NON;NON;NON;OUI;4;5;3;4;4
10/01/2020 17:06;Homme;1,78841E+15;2019;Professionalisation;MAT;Activite;Privé;CDI;En France;Occitanie;;4;Specific Polymers;De 10 à 19 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur N1 Junior de Recherche;Industrie chimique;24000;NON;NON;NON;NON;5;5;2;5;5
10/01/2020 20:00;Femme;1,77596E+15;2019;Initiale;GBA;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;4;Les Douceurs de jacquemart ;De 50 à 249 salarié(e)s ;Méthodes, contrôle de production, maintenance;Technicienne méthode en amélioration continue ;Industrie agroalimentaire ;22200;OUI;NON;NON;OUI;4;5;2;5;4
22/01/2020 08:24;Femme;1,78259E+15;2019;Initiale;MAT;Etudes;;;;;;;;;;;;;;;;;;;;;
11/01/2020 13:37;Homme;1,77594E+15;2019;Initiale;IG;Activite;Non_salarie;;En France;Nouvelle-Aquitaine;;4;¿ portée d'Bio; Moins de 10 salarié(e)s ;Direction générale ;Associé - responsable innovation ;Commerce;;OUI;OUI;OUI;OUI;5;5;5;5;5
14/01/2020 12:50;Femme;1,88852E+15;2019;Professionalisation;MI;Volontariat;;;;;;;;;;;;;;;;;;;;;
12/01/2020 04:39;Homme;#VALEUR!;2019;Initiale;MEA;These;;;;;;;;;;;;;;;;;;;;;
11/01/2020 22:31;Homme;1,77579E+15;2019;Initiale;MEA;Activite;Privé;CDI;En France;Occitanie;;3;Solem injection;De 50 à 249 salarié(e)s ;Innovation, Propriété industrielle, brevets, transfert de technologie;Ingénieur en conception électronique IoT;Autres industries (bois, imprimerie, fabrication, réparation et installation de machines et d'équipements, ...);31500;OUI;NON;NON;OUI;4;4;2;5;5
11/01/2020 20:08;Homme;1,78368E+15;2019;Initiale;STE;Activite;Public;CDD;En France;Normandie;;4;SIDESA;De 10 à 19 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);chargé d'affaires AMO;Production et distribution d'eau assainissement, gestion des déchets et dépollution;27600;NON;NON;NON;OUI;4;;;4;
10/01/2020 17:10;Femme;1,78914E+15;2017;Initiale;GBA;Activite;Privé;CDI;En France;Occitanie;;1;Carte Noire ;De 50 à 249 salarié(e)s ;Qualité, sécurité, sûreté de fonctionnement ;Ingénieure assurance qualité ;Industrie agroalimentaire ;35000;NON;NON;NON;OUI;1;5;5;4;5
10/01/2020 17:17;Homme;1,88245E+15;2018;Initiale;MEA;Activite;Privé;CDI;A l'étranger;;Brésil;12;ACTIA;250 à  4 999 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Application Engineer;Industrie automobile, aéronautique, navale, ferroviaire;18000;NON;OUI;NON;OUI;4;5;3;5;5
10/01/2020 17:25;Homme;1,87639E+15;2019;Initiale;MAT;Activite;Privé;CDI;En France;Île-de-France;;1;FarevaCare;De 50 à 249 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Chef de Projet Packaging;Recherche-développement scientifique;33000;NON;NON;NON;OUI;1;5;3;4;2
10/01/2020 18:01;Homme;1,79876E+15;2018;Initiale;STE;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;16;SCIRPE;De 10 à 19 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur d'études;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;39400;NON;NON;NON;OUI;4;5;4;2;4
12/01/2020 20:35;Femme;1,78348E+15;2017;Professionalisation;GBA;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;28;FIRMENICH;5 000 salarié(e)s ou plus;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Natural Extracts Developer;Industrie chimique;41000;NON;NON;NON;OUI;5;3;5;5;3
15/01/2020 20:19;Homme;1,79419E+15;2018;Initiale;STE;Activite;Privé;CDI;En France;Occitanie;;23;Egis eau ;5 000 salarié(e)s ou plus;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur chargé d'études ;Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;35000;NON;NON;OUI;OUI;5;5;4;5;5
19/01/2020 12:50;Femme;1,78909E+15;2017;Apprentissage;SE;Activite;Privé;CDI;En France;Île-de-France;;31;MBDA ;5 000 salarié(e)s ou plus;Essais;Ingénieur essais validation fonctionnelle ;Industrie automobile, aéronautique, navale, ferroviaire;45000;NON;OUI;NON;OUI;4;4;3;3;1
20/01/2020 17:52;Homme;1,78841E+15;2017;Apprentissage;EGC;Activite;Privé;CDI;En France;Occitanie;;10;GAXIEU;De 50 à 249 salarié(e)s ;Maitrise d'oeuvre;Conducteur de travaux;Construction, BTP;34000;NON;OUI;NON;OUI;5;5;4;5;5
20/01/2020 17:44;Femme;1,8831E+15;2019;Apprentissage;EGC;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;4;Setec hydratec;De 50 à 249 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieur attaché d'etudes;Autres secteurs ;20640;NON;NON;NON;NON;4;5;3;4;1
20/01/2020 18:32;Femme;1,76783E+15;2017;Apprentissage;EGC;Activite;Privé;CDI;En France;Nouvelle-Aquitaine;;26;EDF;5 000 salarié(e)s ou plus;Production - Exploitation ;INGENIEUR GENIE CIVIL;…nergie (Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné);50000;NON;OUI;NON;OUI;4;5;4;4;3
20/01/2020 20:37;Femme;1,78329E+15;2019;Apprentissage;EGC;Activite;Privé;CDD;En France;Occitanie;;4;SERI;De 20 à 49 salarié(e)s ;Etudes - Conseil et expertise (autre qu'informatique);Ingénieure hydraulique;Construction, BTP;27600;NON;NON;NON;OUI;2;1;5;2;4
20/01/2020 22:18;Homme;1,78841E+15;2017;Initiale;MI;Activite;Public;Titulaire de la fonction publique;En France;Île-de-France;;16;…ducation nationale;5 000 salarié(e)s ou plus;Enseignement - Formation ;;Enseignement, recherche;;NON;NON;NON;NON;4;3;2;4;1
20/01/2020 22:26;Femme;1,85755E+15;2017;Initiale;MI;Activite;Privé;CDI;En France;Occitanie;;2;Cnes;250 à  4 999 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Ingénieur opération satellite;Industrie automobile, aéronautique, navale, ferroviaire;40000;NON;NON;NON;NON;5;5;5;4;5
20/01/2020 22:47;Homme;1,7831E+15;2018;Apprentissage;EGC;Activite;Privé;CDI;En France;Auvergne-Rhône-Alpes;;14;Sncf réseau ;250 à  4 999 salarié(e)s ;MOE ETUDE;Ingénieur hydraulique;Industrie automobile, aéronautique, navale, ferroviaire;37408;OUI;NON;NON;NON;4;5;2;4;2
20/01/2020 23:13;Homme;1,78931E+15;2018;Initiale;MI;Activite;Privé;CDI;En France;Provence-Alpes-Côte d'Azur;;2;Institut de soudure industrie;250 à  4 999 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);Chargé d'affaire E3C (Expertise, Conseils, Conception, Calculs);Sociétés de conseil ou d'ingénieurie, bureaux d'études indépendants;35000;NON;NON;NON;OUI;4;5;4;3;5
20/01/2020 23:05;Homme;1,78943E+15;2018;Initiale;MI;Activite;Privé;CDD;A l'étranger;;Slovaquie;24;SHARK AERO;De 50 à 249 salarié(e)s ;Recherche-développement, études scientifiques et techniques (autre qu'informatique);;Industrie automobile, aéronautique, navale, ferroviaire;20400;NON;NON;NON;OUI;5;5;4;5;2
20/01/2020 23:57;Homme;1,77684E+15;2019;Initiale;MI;Activite;Privé;CDD;En France;Occitanie;;12;Entrepose contracting ;De 50 à 249 salarié(e)s ;Contrôle de projet;Ingénieur Project Control ;Construction, BTP;37000;OUI;NON;NON;OUI;;4;4;3;4
