Date;Identifiant;Genre;Annee_diplome;Type_formation;Filiere;Situation;Secteur;Nature_contrat;France;Region;Pays;Anciennete;Nom_entreprise;Taille_entreprise;Departement;Intitule_poste;Secteur_activite;Salaire_annuel;Responsabilite_hierarchique;Responsabilite_budget;Responsabilite_equipe;Responsabilite_projet;Satisfaction_globale;Saitisfaction_relations;Satisfaction_salaire;Satisfaction_autonomie;Satisfaction_localisation
24/05/2018 12:15;1768103099391170    ;Femme;2015;Apprentissage;GBA;Activite;Prive;CDI;Etranger;;Allemagne;26;Delphi Organic GmbH;20_49;Audit ;;Industrie agroalimentaire ;;OUI;;;OUI;4;4;4;4;2
24/05/2018 12:40;1794681451788990    ;Homme;2017;Initiale;MI;Sans activite volontairement;;;;;;;;;;;;;;;;;;;;;
24/05/2018 17:21;1894332573557550    ;Homme;2017;Initiale;MI;Activite;Public;CDD;France;Centre-Val de Loire;;5;Lycee Leonard de Vinci ;50_249;Enseignement - Formation ;Professeur de Mathematiques ;Enseignement, recherche;24000;NON;NON;NON;NON;1;;2;;5
24/05/2018 13:43;1802846091119630    ;Femme;2016;Initiale;GBA;Activite;Prive;CDI;France;Pays de la Loire;;15;Capgemini;5000_;Etudes et developpement en systemes d'information ;Ingenieur logiciel;Activites informatiques et services d'information (TIC services);36000;NON;NON;NON;NON;4;4;3;4;5
24/05/2018 18:05;1776615832131500    ;Homme;2017;Initiale;GBA;Activite;Prive;CDI;France;Bourgogne-Franche-Comte;;1;;_10;Metier de sante;Conseillere et Dieteticienne;Commerce;;NON;NON;NON;NON;4;4;1;3;2
24/05/2018 19:07;1807101912269170    ;Homme;2016;Apprentissage;SE;Activite;Prive;CDI;France;Occitanie;;20;Ies synergy;50_249;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur power module;Metallurgie et fabrication de produits metalliques a l'exception des machines et des equipements;36150;OUI;NON;OUI;OUI;3;5;3;4;4
25/05/2018 02:10;1782714862940150    ;Femme;2016;Initiale;GBA;Sans activite volontairement;;;;;;;;;;;;;;;;;;;;;
25/05/2018 08:29;1783429272155830    ;Homme;2015;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;30;Thales Alenia Space;5000_;CC Electronique;ASIC & FPGA designer;Industrie automobile, aeronautique, navale, ferroviaire;;;;;;;;;;
25/05/2018 08:48;1782336256786320    ;Homme;2016;Initiale;MEA;Activite;Prive;CDI;France;Occitanie;;20;Solem;50_249;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur Systemes Embarques;Autres secteurs ;32000;OUI;NON;NON;OUI;4;4;3;4;5
25/05/2018 08:54;1789078855280940    ;Homme;2015;Apprentissage;SE;Activite;Prive;CDI;France;Provence-Alpes-Cote d'Azur;;3;SmartEmbed;_10;Recherche-developpement, etudes scientifiques et techniques (autre qu'informatique);Ingenieur chef de projet en electronique;Recherche-developpement scientifique;38000;NON;OUI;NON;OUI;4;4;3;4;4
